Hi! About which field do you wanr to know ?	Machine Learning	Deep Learning 	NLP	frontenend 	Backend	python
Machine Learning	How would you rate your level in Machine Learning 					
Deep Learning 	How would you rate your level in Deep Learning					
NLP	How would you rate your level in NLP					
frontenend 	How would you rate your level in frontend					
Backend	How would you rate your level in Backend					
python	How would you rate your level in python					
How would you rate your level in Machine Learning 	Basic 	Intermidate	advance			
How would you rate your level in Deep Learning	Basic 	Intermidate	advance			
How would you rate your level in NLP	Basic 	Intermidate	advance			
How would you rate your level in frontend	Basic 	Intermidate	advance			
How would you rate your level in Backend	Basic 	Intermidate	advance			
How would you rate your level in python	Basic 	Intermidate	advance			
Basic 	ok no prolem you have to do work hard 					
Intermidate	yes It seems good just do more practise					
advance	oho thats look great you shoul now apply for intern					
